,Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
1,1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
3,3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
6,6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
10,10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
11,11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
21,21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
23,23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
27,27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
52,52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
54,54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
62,62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
66,66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
75,75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
88,88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
92,92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False
96,96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True
97,97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
102,102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
110,110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
118,118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False
123,123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
124,124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
136,136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
137,137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False
139,139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
148,148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
151,151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
170,170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
174,174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True
177,177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
183,183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
193,193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
194,194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
195,195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
205,205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False
209,209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
215,215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
218,218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
224,224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False
230,230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False
245,245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False
248,248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False
251,251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False
252,252,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True
257,257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
262,262,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False
263,263,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True
268,268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False
269,269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True
273,273,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False
275,275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
291,291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False
292,292,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True
297,297,0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False
299,299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False
305,305,1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False
307,307,1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False
309,309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True
310,310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True
311,311,1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
318,318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
319,319,1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False
325,325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True
327,327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True
329,329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
331,331,0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True
332,332,0,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False
336,336,0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False
337,337,1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True
340,340,1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
341,341,1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
345,345,1,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True
356,356,1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
366,366,1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False
369,369,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
370,370,1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False
377,377,0,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False
390,390,1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False
393,393,1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
394,394,1,3,female,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False
412,412,1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False
429,429,1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True
430,430,1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True
434,434,0,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False
435,435,1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
438,438,0,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False
445,445,1,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False
449,449,1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True
452,452,0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True
453,453,1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
456,456,0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True
460,460,1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
462,462,0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True
473,473,1,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True
484,484,1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False
486,486,1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False
487,487,0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True
492,492,0,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True
496,496,1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
498,498,0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
504,504,1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
505,505,0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False
512,512,1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
515,515,0,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True
516,516,1,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
520,520,1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
523,523,1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False
536,536,0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True
539,539,1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False
540,540,1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False
544,544,0,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False
550,550,1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False
556,556,1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False
558,558,1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False
571,571,1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
572,572,1,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True
577,577,1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False
581,581,1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
583,583,0,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True
585,585,1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False
587,587,1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False
591,591,1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False
599,599,1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False
609,609,1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True
618,618,1,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
621,621,1,1,male,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False
625,625,0,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True
627,627,1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True
630,630,1,1,male,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True
632,632,1,1,male,32.0,0,0,30.5,C,First,man,True,B,Cherbourg,yes,True
641,641,1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True
645,645,1,1,male,48.0,1,0,76.7292,C,First,man,True,D,Cherbourg,yes,False
647,647,1,1,male,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True
659,659,0,1,male,58.0,0,2,113.275,C,First,man,True,D,Cherbourg,no,False
662,662,0,1,male,47.0,0,0,25.5875,S,First,man,True,E,Southampton,no,True
671,671,0,1,male,31.0,1,0,52.0,S,First,man,True,B,Southampton,no,False
679,679,1,1,male,36.0,0,1,512.3292,C,First,man,True,B,Cherbourg,yes,False
681,681,1,1,male,27.0,0,0,76.7292,C,First,man,True,D,Cherbourg,yes,True
689,689,1,1,female,15.0,0,1,211.3375,S,First,child,False,B,Southampton,yes,False
690,690,1,1,male,31.0,1,0,57.0,S,First,man,True,B,Southampton,yes,False
698,698,0,1,male,49.0,1,1,110.8833,C,First,man,True,C,Cherbourg,no,False
699,699,0,3,male,42.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
700,700,1,1,female,18.0,1,0,227.525,C,First,woman,False,C,Cherbourg,yes,False
701,701,1,1,male,35.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
707,707,1,1,male,42.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True
710,710,1,1,female,24.0,0,0,49.5042,C,First,woman,False,C,Cherbourg,yes,True
712,712,1,1,male,48.0,1,0,52.0,S,First,man,True,C,Southampton,yes,False
715,715,0,3,male,19.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
716,716,1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True
717,717,1,2,female,27.0,0,0,10.5,S,Second,woman,False,E,Southampton,yes,True
724,724,1,1,male,27.0,1,0,53.1,S,First,man,True,E,Southampton,yes,False
730,730,1,1,female,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,yes,True
737,737,1,1,male,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,yes,True
741,741,0,1,male,36.0,1,0,78.85,S,First,man,True,C,Southampton,no,False
742,742,1,1,female,21.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False
745,745,0,1,male,70.0,1,1,71.0,S,First,man,True,B,Southampton,no,False
748,748,0,1,male,19.0,1,0,53.1,S,First,man,True,D,Southampton,no,False
751,751,1,3,male,6.0,0,1,12.475,S,Third,child,False,E,Southampton,yes,False
759,759,1,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True
763,763,1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False
765,765,1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False
772,772,0,2,female,57.0,0,0,10.5,S,Second,woman,False,E,Southampton,no,True
779,779,1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False
781,781,1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False
782,782,0,1,male,29.0,0,0,30.0,S,First,man,True,D,Southampton,no,True
789,789,0,1,male,46.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
796,796,1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
802,802,1,1,male,11.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False
806,806,0,1,male,39.0,0,0,0.0,S,First,man,True,A,Southampton,no,True
809,809,1,1,female,33.0,1,0,53.1,S,First,woman,False,E,Southampton,yes,False
820,820,1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False
823,823,1,3,female,27.0,0,1,12.475,S,Third,woman,False,E,Southampton,yes,False
835,835,1,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,yes,False
853,853,1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False
857,857,1,1,male,51.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True
862,862,1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True
867,867,0,1,male,31.0,0,0,50.4958,S,First,man,True,A,Southampton,no,True
871,871,1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False
872,872,0,1,male,33.0,0,0,5.0,S,First,man,True,B,Southampton,no,True
879,879,1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False
887,887,1,1,female,19.0,0,0,30.0,S,First,woman,False,B,Southampton,yes,True
889,889,1,1,male,26.0,0,0,30.0,C,First,man,True,C,Cherbourg,yes,True
